student_name,age,class_level,favorite_topics,weak_topics,learning_style,study_hours,goals,motivation,assessment_feedback,preferred_difficulty,attention_span,previous_grades,extracurricular,career_interest
Avery Miller,17,12th grade,"art, biology, chemistry","physics, music",reading and writing focused,9,"improve grades in music, excel in chemistry",interested in medical career,"excellent understanding of art, but needs more practice with physics",easy,82,"chemistry: A, music: C+",debate team,technology
Avery Miller,17,12th grade,"music, history, chemistry, biology","literature, geography, art",auditory learning through discussions,10,"improve grades in geography, excel in music",want to help others through science,"shows strong analytical thinking, but could improve explanation clarity",medium,89,"chemistry: A, literature: B-",chess club,research
Jordan Smith,14,9th grade,"geography, physics, chemistry, literature","art, computer science, history",auditory learning through discussions,20,"improve grades in history, excel in geography",fascinated by technology and innovation,"excellent understanding of chemistry, but could improve explanation clarity",challenging,21,"literature: B+, computer science: C",art club,research
Morgan Wilson,17,12th grade,"computer science, music, chemistry",geography,visual learning with diagrams and charts,25,"improve grades in geography, excel in chemistry",interested in medical career,"good at connecting concepts, but needs more practice with geography",medium,82,"computer science: B+, geography: C+",science olympiad,research
Taylor Taylor,15,10th grade,"computer science, music, art, mathematics","physics, history, chemistry",kinesthetic hands-on learning,10,"improve grades in history, excel in music",enjoy understanding how things work,"excellent understanding of music, but could improve explanation clarity",easy,38,"music: A-, history: C",debate team,technology
Jordan Johnson,15,10th grade,"music, literature",computer science,auditory learning through discussions,19,"improve grades in computer science, excel in literature",love solving complex problems,"demonstrates creativity in problem solving, but needs to show more work in calculations",medium,53,"music: A, computer science: C",chess club,technology
Riley Wilson,16,11th grade,"mathematics, physics, literature, history","art, computer science",kinesthetic hands-on learning,8,"improve grades in computer science, excel in history",enjoy understanding how things work,"good at connecting concepts, but should work on time management",medium,90,"mathematics: A, art: C+",chess club,engineering
Morgan Davis,18,13th grade,"geography, literature",computer science,visual learning with diagrams and charts,5,"improve grades in computer science, excel in geography",want to help others through science,"excellent understanding of geography, but needs more practice with computer science",challenging,36,"literature: A, computer science: B-",debate team,research
Riley Wilson,16,11th grade,"physics, geography, computer science","art, music",auditory learning through discussions,7,"improve grades in music, excel in physics",enjoy understanding how things work,"excellent understanding of geography, but could improve explanation clarity",medium,42,"geography: A-, art: C+",art club,technology
Jordan Taylor,15,10th grade,"geography, physics, chemistry, computer science","biology, art",practical problem-solving approach,13,"improve grades in biology, excel in geography",want to become an engineer,"demonstrates creativity in problem solving, but needs more practice with art",medium,39,"geography: B+, biology: C",science olympiad,medicine
Jordan Davis,16,11th grade,"music, mathematics, geography","computer science, art",visual learning with diagrams and charts,17,"improve grades in art, excel in music",want to help others through science,"good at connecting concepts, but could improve explanation clarity",medium,27,"geography: A-, computer science: B-",science olympiad,engineering
Morgan Moore,17,12th grade,"biology, chemistry, mathematics","art, computer science",visual learning with diagrams and charts,25,"improve grades in computer science, excel in chemistry",want to become an engineer,"shows strong analytical thinking, but should work on time management",easy,44,"biology: A-, art: C",robotics club,education
Alex Miller,16,11th grade,"art, geography, mathematics",biology,practical problem-solving approach,6,"improve grades in biology, excel in art",interested in medical career,"shows strong analytical thinking, but should work on time management",easy,24,"mathematics: A-, biology: B-",robotics club,technology
Alex Wilson,18,13th grade,"biology, chemistry",computer science,visual learning with diagrams and charts,19,"improve grades in computer science, excel in biology",want to become an engineer,"shows strong analytical thinking, but needs more practice with computer science",easy,74,"chemistry: A-, computer science: C+",art club,education
Morgan Brown,15,10th grade,"biology, mathematics, chemistry","physics, music",reading and writing focused,10,"improve grades in music, excel in chemistry",interested in medical career,"excellent understanding of mathematics, but should work on time management",easy,68,"biology: A-, physics: C+",robotics club,engineering
Taylor Davis,15,10th grade,"music, computer science","art, history",auditory learning through discussions,25,"improve grades in history, excel in computer science",enjoy understanding how things work,"excellent understanding of music, but should work on time management",challenging,83,"music: A-, history: C",robotics club,education
Casey Taylor,15,10th grade,"physics, art",history,practical problem-solving approach,11,"improve grades in history, excel in physics",interested in medical career,"demonstrates creativity in problem solving, but needs to show more work in calculations",easy,40,"physics: B+, history: C",science olympiad,medicine
Alex Brown,17,12th grade,"literature, geography, mathematics",art,auditory learning through discussions,5,"improve grades in art, excel in mathematics",want to become an engineer,"demonstrates creativity in problem solving, but could improve explanation clarity",medium,45,"mathematics: A, art: C+",science olympiad,medicine
Quinn Taylor,14,9th grade,"history, biology","computer science, mathematics",visual learning with diagrams and charts,18,"improve grades in computer science, excel in history",want to help others through science,"demonstrates creativity in problem solving, but could improve explanation clarity",easy,78,"history: A-, mathematics: C+",science olympiad,medicine
Quinn Moore,14,9th grade,"music, mathematics, computer science, physics",history,auditory learning through discussions,15,"improve grades in history, excel in computer science",want to help others through science,"shows strong analytical thinking, but needs more practice with history",medium,86,"physics: B+, history: C",chess club,research
Taylor Johnson,14,9th grade,"history, biology, art, chemistry","geography, physics",reading and writing focused,6,"improve grades in geography, excel in chemistry",fascinated by technology and innovation,"demonstrates creativity in problem solving, but needs to show more work in calculations",challenging,32,"chemistry: A, physics: C+",art club,engineering
Jordan Johnson,17,12th grade,"chemistry, literature","computer science, geography",reading and writing focused,14,"improve grades in computer science, excel in literature",want to help others through science,"demonstrates creativity in problem solving, but should work on time management",challenging,71,"chemistry: B+, geography: C",robotics club,engineering
Casey Smith,17,12th grade,"literature, art, mathematics, chemistry","computer science, geography",mixed visual and auditory,15,"improve grades in computer science, excel in mathematics",want to become an engineer,"good at connecting concepts, but needs to show more work in calculations",challenging,25,"mathematics: A, geography: B-",art club,engineering
Casey Miller,18,13th grade,"biology, chemistry, literature, physics","mathematics, geography, computer science",kinesthetic hands-on learning,13,"improve grades in computer science, excel in physics",love solving complex problems,"good at connecting concepts, but could improve explanation clarity",medium,82,"biology: B+, geography: B-",art club,research
Avery Brown,17,12th grade,"literature, physics, biology, geography",mathematics,kinesthetic hands-on learning,7,"improve grades in mathematics, excel in physics",love solving complex problems,"demonstrates creativity in problem solving, but should work on time management",easy,86,"literature: A-, mathematics: B-",art club,medicine
Alex Davis,17,12th grade,"history, geography, mathematics","chemistry, physics",mixed visual and auditory,25,"improve grades in physics, excel in geography",want to help others through science,"demonstrates creativity in problem solving, but needs to show more work in calculations",medium,58,"mathematics: A-, chemistry: C+",science olympiad,medicine
Taylor Brown,17,12th grade,"computer science, mathematics, chemistry","literature, history",practical problem-solving approach,22,"improve grades in history, excel in computer science",interested in medical career,"shows strong analytical thinking, but should work on time management",easy,25,"mathematics: A-, literature: C",science olympiad,medicine
Taylor Wilson,15,10th grade,"mathematics, literature, art, physics","history, geography",visual learning with diagrams and charts,5,"improve grades in geography, excel in physics",interested in medical career,"shows strong analytical thinking, but needs more practice with geography",challenging,89,"art: A-, geography: C",art club,medicine
Jordan Wilson,18,13th grade,"geography, literature, physics, art","mathematics, chemistry",visual learning with diagrams and charts,17,"improve grades in mathematics, excel in art",love solving complex problems,"excellent understanding of geography, but should work on time management",challenging,87,"literature: A, chemistry: C+",robotics club,education
Alex Miller,17,12th grade,"physics, art, history, music","biology, literature",reading and writing focused,9,"improve grades in literature, excel in history",enjoy understanding how things work,"good at connecting concepts, but could improve explanation clarity",medium,59,"music: A, biology: B-",chess club,technology
Jordan Brown,17,12th grade,"chemistry, history, art",music,auditory learning through discussions,14,"improve grades in music, excel in art",love solving complex problems,"excellent understanding of chemistry, but needs more practice with music",medium,54,"history: B+, music: C",art club,medicine
Morgan Taylor,15,10th grade,"history, computer science","music, mathematics, chemistry",mixed visual and auditory,19,"improve grades in music, excel in history",want to become an engineer,"good at connecting concepts, but needs to show more work in calculations",easy,56,"computer science: A-, music: B-",debate team,engineering
Morgan Taylor,14,9th grade,"geography, physics, literature","computer science, history, music",practical problem-solving approach,8,"improve grades in history, excel in literature",fascinated by technology and innovation,"good at connecting concepts, but should work on time management",challenging,27,"geography: A-, history: B-",debate team,research
Morgan Wilson,15,10th grade,"computer science, literature","geography, mathematics",mixed visual and auditory,25,"improve grades in geography, excel in computer science",fascinated by technology and innovation,"shows strong analytical thinking, but could improve explanation clarity",medium,58,"literature: A, mathematics: B-",art club,research
Quinn Moore,15,10th grade,"chemistry, art","history, geography",kinesthetic hands-on learning,10,"improve grades in history, excel in chemistry",interested in medical career,"excellent understanding of chemistry, but needs to show more work in calculations",medium,29,"chemistry: A, history: C",science olympiad,research
Morgan Johnson,16,11th grade,"geography, art","chemistry, literature",practical problem-solving approach,8,"improve grades in chemistry, excel in geography",fascinated by technology and innovation,"good at connecting concepts, but should work on time management",easy,36,"geography: B+, literature: C+",robotics club,engineering
Alex Taylor,17,12th grade,"mathematics, biology, physics",music,visual learning with diagrams and charts,13,"improve grades in music, excel in mathematics",love solving complex problems,"excellent understanding of physics, but needs more practice with music",challenging,46,"physics: A, music: B-",science olympiad,engineering
Casey Smith,14,9th grade,"computer science, literature","chemistry, art",visual learning with diagrams and charts,23,"improve grades in chemistry, excel in computer science",fascinated by technology and innovation,"shows strong analytical thinking, but needs more practice with art",challenging,32,"computer science: A-, art: B-",art club,medicine
Casey Moore,17,12th grade,"physics, chemistry, literature, biology","computer science, art",visual learning with diagrams and charts,15,"improve grades in computer science, excel in biology",want to become an engineer,"good at connecting concepts, but could improve explanation clarity",challenging,25,"physics: A-, art: C+",chess club,research
Casey Smith,17,12th grade,"computer science, geography, biology, music","chemistry, literature",reading and writing focused,16,"improve grades in chemistry, excel in computer science",fascinated by technology and innovation,"demonstrates creativity in problem solving, but needs to show more work in calculations",challenging,30,"computer science: A-, chemistry: C",art club,engineering
Avery Smith,15,10th grade,"literature, biology","computer science, history",auditory learning through discussions,18,"improve grades in history, excel in biology",fascinated by technology and innovation,"good at connecting concepts, but needs to show more work in calculations",challenging,71,"biology: A, history: C",robotics club,engineering
Alex Smith,16,11th grade,"geography, biology, chemistry",mathematics,reading and writing focused,5,"improve grades in mathematics, excel in biology",want to help others through science,"shows strong analytical thinking, but could improve explanation clarity",challenging,32,"geography: A-, mathematics: C+",science olympiad,technology
Avery Smith,17,12th grade,"computer science, art, literature, history","geography, mathematics, music",reading and writing focused,19,"improve grades in mathematics, excel in history",enjoy understanding how things work,"excellent understanding of history, but should work on time management",challenging,58,"art: A-, mathematics: C+",science olympiad,technology
Taylor Johnson,17,12th grade,"music, geography","art, biology, computer science",reading and writing focused,13,"improve grades in biology, excel in geography",want to help others through science,"good at connecting concepts, but needs more practice with biology",easy,25,"music: A-, biology: B-",art club,engineering
Alex Davis,16,11th grade,"physics, history, literature","computer science, biology",auditory learning through discussions,12,"improve grades in biology, excel in literature",want to become an engineer,"good at connecting concepts, but needs more practice with computer science",medium,41,"physics: A, biology: C",chess club,education
Avery Miller,18,13th grade,"computer science, mathematics, geography","physics, biology, literature",mixed visual and auditory,8,"improve grades in biology, excel in computer science",fascinated by technology and innovation,"good at connecting concepts, but needs to show more work in calculations",challenging,63,"computer science: A-, literature: C",chess club,medicine
Avery Davis,17,12th grade,"physics, art, biology, chemistry","mathematics, literature",mixed visual and auditory,7,"improve grades in mathematics, excel in biology",love solving complex problems,"demonstrates creativity in problem solving, but should work on time management",medium,29,"biology: A-, literature: B-",art club,research
Alex Brown,15,10th grade,"history, computer science, geography","music, literature, physics",mixed visual and auditory,20,"improve grades in music, excel in geography",fascinated by technology and innovation,"demonstrates creativity in problem solving, but needs more practice with literature",challenging,45,"computer science: A, literature: C+",debate team,research
Taylor Wilson,17,12th grade,"literature, physics, biology","computer science, music",practical problem-solving approach,24,"improve grades in computer science, excel in physics",interested in medical career,"shows strong analytical thinking, but needs more practice with computer science",easy,59,"physics: B+, music: C",chess club,engineering
Morgan Brown,15,10th grade,"computer science, chemistry",history,practical problem-solving approach,6,"improve grades in history, excel in computer science",want to become an engineer,"good at connecting concepts, but needs more practice with history",medium,66,"computer science: B+, history: C+",debate team,engineering
Jordan Miller,18,13th grade,"art, physics, computer science, biology",chemistry,kinesthetic hands-on learning,23,"improve grades in chemistry, excel in physics",enjoy understanding how things work,"excellent understanding of physics, but should work on time management",easy,55,"biology: A-, chemistry: B-",robotics club,technology
Morgan Brown,18,13th grade,"physics, literature, history","art, chemistry",kinesthetic hands-on learning,20,"improve grades in chemistry, excel in literature",want to become an engineer,"excellent understanding of history, but should work on time management",medium,90,"literature: B+, chemistry: B-",science olympiad,engineering
Morgan Wilson,18,13th grade,"geography, history",art,visual learning with diagrams and charts,12,"improve grades in art, excel in geography",interested in medical career,"demonstrates creativity in problem solving, but needs more practice with art",medium,30,"history: B+, art: C",science olympiad,technology
Avery Miller,14,9th grade,"computer science, art",history,reading and writing focused,5,"improve grades in history, excel in computer science",fascinated by technology and innovation,"excellent understanding of art, but needs to show more work in calculations",easy,59,"art: A, history: C+",debate team,education
Riley Wilson,15,10th grade,"history, literature, geography, biology","physics, chemistry, music",auditory learning through discussions,7,"improve grades in chemistry, excel in geography",interested in medical career,"shows strong analytical thinking, but needs more practice with chemistry",easy,49,"history: A, chemistry: C",debate team,engineering
Jordan Johnson,17,12th grade,"history, computer science, chemistry, mathematics","biology, art",practical problem-solving approach,21,"improve grades in art, excel in mathematics",fascinated by technology and innovation,"shows strong analytical thinking, but should work on time management",easy,54,"chemistry: A-, art: C+",chess club,medicine
Taylor Johnson,18,13th grade,"computer science, biology","chemistry, literature",kinesthetic hands-on learning,13,"improve grades in chemistry, excel in biology",interested in medical career,"excellent understanding of biology, but needs more practice with literature",medium,37,"biology: B+, literature: C+",chess club,technology
Casey Taylor,18,13th grade,"physics, music, mathematics",computer science,kinesthetic hands-on learning,24,"improve grades in computer science, excel in physics",love solving complex problems,"good at connecting concepts, but needs to show more work in calculations",challenging,67,"physics: B+, computer science: C+",science olympiad,medicine
Avery Brown,18,13th grade,"literature, geography, chemistry",biology,kinesthetic hands-on learning,8,"improve grades in biology, excel in literature",interested in medical career,"good at connecting concepts, but needs to show more work in calculations",medium,53,"chemistry: B+, biology: C",chess club,medicine
Alex Davis,16,11th grade,"geography, chemistry, music, mathematics",biology,auditory learning through discussions,6,"improve grades in biology, excel in music",interested in medical career,"excellent understanding of mathematics, but needs to show more work in calculations",easy,76,"music: A-, biology: C",robotics club,medicine
Taylor Wilson,14,9th grade,"physics, biology, computer science",music,mixed visual and auditory,23,"improve grades in music, excel in computer science",want to become an engineer,"demonstrates creativity in problem solving, but needs more practice with music",easy,83,"computer science: A-, music: C+",science olympiad,engineering
Jordan Taylor,17,12th grade,"music, physics, literature",mathematics,practical problem-solving approach,20,"improve grades in mathematics, excel in literature",love solving complex problems,"good at connecting concepts, but needs more practice with mathematics",challenging,77,"physics: A, mathematics: C+",science olympiad,research
Casey Moore,14,9th grade,"physics, art, history, mathematics","computer science, biology",visual learning with diagrams and charts,5,"improve grades in computer science, excel in art",enjoy understanding how things work,"shows strong analytical thinking, but needs more practice with biology",medium,82,"mathematics: B+, biology: B-",debate team,research
Morgan Moore,14,9th grade,"art, biology, geography","computer science, music",visual learning with diagrams and charts,18,"improve grades in music, excel in geography",interested in medical career,"excellent understanding of biology, but needs more practice with music",challenging,63,"biology: B+, computer science: B-",debate team,technology
Morgan Brown,18,13th grade,"art, physics, computer science, biology","mathematics, history",auditory learning through discussions,14,"improve grades in mathematics, excel in biology",love solving complex problems,"excellent understanding of art, but needs more practice with mathematics",challenging,74,"biology: A-, mathematics: B-",art club,research
Quinn Brown,16,11th grade,"music, physics, mathematics",geography,auditory learning through discussions,17,"improve grades in geography, excel in music",enjoy understanding how things work,"good at connecting concepts, but needs to show more work in calculations",challenging,77,"mathematics: A-, geography: C+",debate team,medicine
Jordan Johnson,14,9th grade,"music, computer science, physics, biology","mathematics, art, history",auditory learning through discussions,25,"improve grades in art, excel in biology",fascinated by technology and innovation,"demonstrates creativity in problem solving, but could improve explanation clarity",challenging,66,"biology: A, art: C+",debate team,engineering
Quinn Brown,15,10th grade,"mathematics, biology",literature,practical problem-solving approach,12,"improve grades in literature, excel in mathematics",want to become an engineer,"shows strong analytical thinking, but needs to show more work in calculations",medium,22,"mathematics: A, literature: B-",chess club,technology
Avery Johnson,17,12th grade,"geography, biology",literature,kinesthetic hands-on learning,5,"improve grades in literature, excel in biology",enjoy understanding how things work,"excellent understanding of biology, but needs to show more work in calculations",medium,82,"biology: B+, literature: C+",art club,engineering
Quinn Miller,17,12th grade,"literature, art, physics, chemistry","history, music, mathematics",reading and writing focused,18,"improve grades in history, excel in art",love solving complex problems,"good at connecting concepts, but needs to show more work in calculations",easy,84,"art: B+, mathematics: C",art club,technology
Casey Wilson,15,10th grade,"history, music, literature","art, physics",practical problem-solving approach,7,"improve grades in physics, excel in history",interested in medical career,"demonstrates creativity in problem solving, but needs more practice with art",medium,83,"music: A, art: B-",robotics club,engineering
Avery Smith,16,11th grade,"literature, chemistry, art","mathematics, music, biology",mixed visual and auditory,12,"improve grades in mathematics, excel in art",interested in medical career,"good at connecting concepts, but could improve explanation clarity",easy,54,"literature: B+, biology: B-",robotics club,engineering
Taylor Smith,17,12th grade,"physics, music, art","mathematics, literature, geography",auditory learning through discussions,16,"improve grades in mathematics, excel in art",love solving complex problems,"demonstrates creativity in problem solving, but needs more practice with literature",easy,66,"music: A, mathematics: C+",chess club,technology
Morgan Miller,14,9th grade,"geography, literature","chemistry, mathematics",practical problem-solving approach,18,"improve grades in mathematics, excel in geography",interested in medical career,"shows strong analytical thinking, but needs to show more work in calculations",medium,72,"literature: A, mathematics: C",debate team,engineering
Taylor Moore,18,13th grade,"physics, literature","art, music",visual learning with diagrams and charts,17,"improve grades in art, excel in physics",want to help others through science,"demonstrates creativity in problem solving, but needs to show more work in calculations",challenging,90,"literature: A-, music: C+",science olympiad,education
Quinn Miller,18,13th grade,"history, geography","biology, computer science, art",practical problem-solving approach,17,"improve grades in biology, excel in geography",want to become an engineer,"good at connecting concepts, but needs to show more work in calculations",challenging,36,"geography: A, biology: B-",art club,research
Morgan Moore,18,13th grade,"chemistry, mathematics, art","history, computer science, biology",mixed visual and auditory,8,"improve grades in biology, excel in chemistry",love solving complex problems,"good at connecting concepts, but needs more practice with biology",easy,35,"mathematics: B+, computer science: B-",robotics club,technology
Morgan Brown,16,11th grade,"music, art","biology, chemistry, history",practical problem-solving approach,17,"improve grades in history, excel in music",want to become an engineer,"shows strong analytical thinking, but could improve explanation clarity",medium,32,"music: A-, history: C",robotics club,engineering
Avery Moore,14,9th grade,"chemistry, geography, biology","mathematics, computer science",kinesthetic hands-on learning,23,"improve grades in computer science, excel in biology",enjoy understanding how things work,"demonstrates creativity in problem solving, but should work on time management",easy,84,"chemistry: B+, computer science: C",debate team,education
Taylor Miller,18,13th grade,"biology, geography","mathematics, history",visual learning with diagrams and charts,24,"improve grades in history, excel in biology",want to become an engineer,"excellent understanding of geography, but should work on time management",easy,67,"geography: A-, history: C",chess club,engineering
Morgan Davis,15,10th grade,"music, history",computer science,auditory learning through discussions,20,"improve grades in computer science, excel in music",want to help others through science,"excellent understanding of history, but needs to show more work in calculations",medium,59,"history: A-, computer science: C",art club,medicine
Avery Davis,15,10th grade,"geography, music, art, physics","biology, mathematics, computer science",reading and writing focused,15,"improve grades in computer science, excel in geography",fascinated by technology and innovation,"good at connecting concepts, but needs more practice with computer science",easy,23,"art: B+, computer science: C+",art club,engineering
Jordan Brown,15,10th grade,"art, mathematics, biology, history","geography, physics",visual learning with diagrams and charts,13,"improve grades in geography, excel in mathematics",fascinated by technology and innovation,"good at connecting concepts, but needs to show more work in calculations",challenging,25,"history: A-, geography: C",debate team,technology
Taylor Wilson,14,9th grade,"literature, history, computer science, mathematics",physics,auditory learning through discussions,10,"improve grades in physics, excel in literature",interested in medical career,"shows strong analytical thinking, but needs more practice with physics",challenging,61,"history: B+, physics: C+",science olympiad,technology
Alex Davis,14,9th grade,"chemistry, history, literature","computer science, mathematics",auditory learning through discussions,24,"improve grades in computer science, excel in history",want to help others through science,"excellent understanding of literature, but could improve explanation clarity",easy,60,"history: A, mathematics: C",robotics club,technology
Taylor Wilson,15,10th grade,"computer science, art","physics, music, literature",mixed visual and auditory,18,"improve grades in music, excel in computer science",fascinated by technology and innovation,"good at connecting concepts, but should work on time management",easy,88,"art: A-, literature: C+",robotics club,technology
Morgan Moore,18,13th grade,"chemistry, mathematics, art","computer science, history",kinesthetic hands-on learning,25,"improve grades in computer science, excel in art",want to help others through science,"shows strong analytical thinking, but needs more practice with computer science",medium,31,"mathematics: A, computer science: B-",art club,research
Morgan Taylor,17,12th grade,"music, art","literature, geography",kinesthetic hands-on learning,12,"improve grades in geography, excel in art",interested in medical career,"excellent understanding of art, but should work on time management",challenging,20,"art: A, literature: B-",debate team,technology
Quinn Smith,18,13th grade,"geography, history, physics, art","music, mathematics, literature",kinesthetic hands-on learning,17,"improve grades in literature, excel in physics",enjoy understanding how things work,"excellent understanding of history, but needs more practice with literature",medium,67,"history: A, mathematics: C+",robotics club,research
Riley Johnson,16,11th grade,"physics, computer science","literature, chemistry, music",kinesthetic hands-on learning,20,"improve grades in music, excel in physics",want to become an engineer,"demonstrates creativity in problem solving, but needs more practice with music",medium,84,"computer science: B+, literature: C+",art club,education
Casey Wilson,18,13th grade,"physics, chemistry","biology, music, computer science",auditory learning through discussions,5,"improve grades in computer science, excel in chemistry",fascinated by technology and innovation,"demonstrates creativity in problem solving, but needs more practice with biology",medium,75,"chemistry: A, music: B-",art club,technology
Avery Taylor,17,12th grade,"art, mathematics, biology",computer science,kinesthetic hands-on learning,5,"improve grades in computer science, excel in art",love solving complex problems,"shows strong analytical thinking, but needs to show more work in calculations",easy,51,"art: A-, computer science: C",robotics club,engineering
Quinn Davis,14,9th grade,"history, mathematics, literature","chemistry, physics",kinesthetic hands-on learning,6,"improve grades in physics, excel in literature",interested in medical career,"excellent understanding of history, but needs to show more work in calculations",challenging,35,"history: A, chemistry: C",science olympiad,engineering
Jordan Johnson,15,10th grade,"geography, mathematics","art, physics",mixed visual and auditory,6,"improve grades in physics, excel in mathematics",enjoy understanding how things work,"shows strong analytical thinking, but needs more practice with physics",medium,69,"mathematics: B+, physics: B-",robotics club,research
Alex Smith,14,9th grade,"art, literature, biology",mathematics,mixed visual and auditory,11,"improve grades in mathematics, excel in biology",want to help others through science,"demonstrates creativity in problem solving, but needs to show more work in calculations",challenging,76,"art: A, mathematics: C+",robotics club,medicine
Quinn Wilson,16,11th grade,"history, art, literature, chemistry","geography, physics, music",mixed visual and auditory,15,"improve grades in physics, excel in literature",want to become an engineer,"shows strong analytical thinking, but needs more practice with geography",medium,64,"art: B+, geography: C+",robotics club,research
Avery Miller,15,10th grade,"geography, music, literature, history","computer science, chemistry, art",auditory learning through discussions,8,"improve grades in chemistry, excel in geography",enjoy understanding how things work,"shows strong analytical thinking, but should work on time management",medium,47,"music: B+, chemistry: C",chess club,medicine
Riley Johnson,17,12th grade,"mathematics, literature",chemistry,mixed visual and auditory,8,"improve grades in chemistry, excel in literature",enjoy understanding how things work,"excellent understanding of mathematics, but needs more practice with chemistry",easy,45,"literature: A, chemistry: C",debate team,research
Morgan Smith,18,13th grade,"chemistry, biology",computer science,visual learning with diagrams and charts,9,"improve grades in computer science, excel in chemistry",love solving complex problems,"demonstrates creativity in problem solving, but should work on time management",medium,67,"chemistry: B+, computer science: C+",robotics club,medicine
Avery Davis,15,10th grade,"biology, art","history, chemistry",visual learning with diagrams and charts,24,"improve grades in history, excel in art",interested in medical career,"excellent understanding of art, but could improve explanation clarity",easy,85,"art: B+, history: C+",chess club,education
Quinn Brown,14,9th grade,"art, history","literature, biology, computer science",kinesthetic hands-on learning,16,"improve grades in computer science, excel in history",fascinated by technology and innovation,"good at connecting concepts, but needs to show more work in calculations",challenging,24,"art: A, literature: C",debate team,technology
Jordan Brown,15,10th grade,"history, music, chemistry","biology, literature",visual learning with diagrams and charts,14,"improve grades in literature, excel in chemistry",love solving complex problems,"demonstrates creativity in problem solving, but could improve explanation clarity",medium,77,"music: A-, literature: C",chess club,research
Jordan Miller,16,11th grade,"mathematics, chemistry, geography",computer science,visual learning with diagrams and charts,14,"improve grades in computer science, excel in chemistry",interested in medical career,"excellent understanding of mathematics, but could improve explanation clarity",easy,89,"mathematics: A, computer science: B-",science olympiad,research
Alex Wilson,16,11th grade,"computer science, biology, chemistry, history","music, art, literature",kinesthetic hands-on learning,16,"improve grades in art, excel in history",want to help others through science,"shows strong analytical thinking, but needs to show more work in calculations",easy,49,"biology: A, art: B-",art club,education
Avery Davis,17,12th grade,"geography, literature, physics, chemistry",history,reading and writing focused,19,"improve grades in history, excel in physics",interested in medical career,"excellent understanding of literature, but needs to show more work in calculations",challenging,65,"physics: A-, history: C",chess club,education
Riley Moore,16,11th grade,"music, mathematics, art",chemistry,reading and writing focused,11,"improve grades in chemistry, excel in music",want to help others through science,"demonstrates creativity in problem solving, but needs more practice with chemistry",medium,77,"art: A, chemistry: C+",robotics club,education
Casey Smith,15,10th grade,"music, geography",chemistry,reading and writing focused,14,"improve grades in chemistry, excel in music",love solving complex problems,"excellent understanding of music, but could improve explanation clarity",challenging,21,"music: A-, chemistry: C",debate team,engineering
Casey Wilson,15,10th grade,"history, geography, physics, biology",chemistry,reading and writing focused,20,"improve grades in chemistry, excel in physics",want to help others through science,"good at connecting concepts, but should work on time management",easy,38,"biology: A-, chemistry: B-",debate team,education
Jordan Wilson,16,11th grade,"geography, music, art, computer science",history,practical problem-solving approach,19,"improve grades in history, excel in art",enjoy understanding how things work,"shows strong analytical thinking, but should work on time management",challenging,75,"computer science: B+, history: C+",art club,engineering
Casey Taylor,17,12th grade,"mathematics, biology, chemistry, geography","art, literature, physics",reading and writing focused,22,"improve grades in art, excel in chemistry",want to become an engineer,"good at connecting concepts, but needs to show more work in calculations",medium,41,"chemistry: B+, art: C+",chess club,engineering
Alex Johnson,14,9th grade,"geography, history, literature, music","physics, biology",kinesthetic hands-on learning,8,"improve grades in physics, excel in literature",fascinated by technology and innovation,"demonstrates creativity in problem solving, but needs more practice with biology",easy,90,"history: A, biology: C",science olympiad,medicine
Jordan Moore,15,10th grade,"music, physics",literature,auditory learning through discussions,7,"improve grades in literature, excel in physics",interested in medical career,"shows strong analytical thinking, but should work on time management",challenging,24,"music: B+, literature: C+",art club,engineering
Avery Davis,17,12th grade,"computer science, geography, mathematics, music",physics,auditory learning through discussions,16,"improve grades in physics, excel in geography",want to become an engineer,"excellent understanding of computer science, but needs more practice with physics",medium,44,"computer science: A, physics: B-",debate team,medicine
Casey Davis,14,9th grade,"art, physics, literature","history, geography",mixed visual and auditory,17,"improve grades in geography, excel in art",interested in medical career,"good at connecting concepts, but could improve explanation clarity",easy,21,"physics: A, geography: C",debate team,technology
Casey Moore,15,10th grade,"computer science, literature",physics,kinesthetic hands-on learning,24,"improve grades in physics, excel in computer science",fascinated by technology and innovation,"excellent understanding of computer science, but could improve explanation clarity",challenging,69,"computer science: A, physics: B-",science olympiad,technology
Alex Davis,14,9th grade,"mathematics, geography, history","art, music, chemistry",visual learning with diagrams and charts,24,"improve grades in art, excel in geography",interested in medical career,"shows strong analytical thinking, but needs more practice with music",easy,37,"geography: A-, music: C+",debate team,technology
Riley Johnson,15,10th grade,"mathematics, biology, geography, literature","chemistry, computer science",mixed visual and auditory,18,"improve grades in computer science, excel in mathematics",interested in medical career,"shows strong analytical thinking, but should work on time management",challenging,26,"biology: B+, chemistry: C",art club,research
Alex Brown,15,10th grade,"mathematics, physics, geography",biology,auditory learning through discussions,9,"improve grades in biology, excel in mathematics",want to help others through science,"shows strong analytical thinking, but needs more practice with biology",medium,79,"physics: B+, biology: C+",debate team,technology
Morgan Taylor,15,10th grade,"biology, computer science, art, geography","music, physics",visual learning with diagrams and charts,16,"improve grades in physics, excel in geography",interested in medical career,"demonstrates creativity in problem solving, but needs to show more work in calculations",easy,81,"biology: A-, physics: C+",science olympiad,education
